nets,vals
boardend,0.149
boardend,0.148
boardend,0.148
boardend,0.147
boardend,0.146
boardend,0.146
boardend,0.145
boardend,0.144
boardend,0.144
boardend,0.143
boardend,0.142
boardend,0.142
boardend,0.141
boardend,0.141
boardend,0.14
boardend,0.139
boardend,0.139
boardend,0.138
boardend,0.137
boardend,0.137
boardend,0.136
boardend,0.136
boardend,0.135
boardend,0.134
boardend,0.134
boardend,0.133
boardend,0.133
boardend,0.132
boardend,0.132
boardend,0.131
boardend,0.13
boardend,0.13
boardend,0.129
boardend,0.129
boardend,0.128
boardend,0.128
boardend,0.127
boardend,0.127
boardend,0.126
boardend,0.125
boardend,0.125
boardend,0.124
boardend,0.124
boardend,0.123
boardend,0.123
boardend,0.122
boardend,0.122
boardend,0.121
boardend,0.121
boardend,0.12
boardend,0.12
boardend,0.119
boardend,0.119
boardend,0.118
boardend,0.118
boardend,0.117
boardend,0.117
boardend,0.116
boardend,0.116
boardend,0.116
boardend,0.115
boardend,0.115
boardend,0.114
boardend,0.114
boardend,0.113
boardend,0.113
boardend,0.112
boardend,0.112
boardend,0.111
boardend,0.111
boardend,0.111
boardend,0.11
boardend,0.11
boardend,0.109
boardend,0.109
boardend,0.109
boardend,0.108
boardend,0.108
boardend,0.107
boardend,0.107
boardend,0.106
boardend,0.106
boardend,0.106
boardend,0.105
boardend,0.105
boardend,0.104
boardend,0.104
boardend,0.104
boardend,0.103
boardend,0.103
boardend,0.103
boardend,0.102
boardend,0.102
boardend,0.101
boardend,0.101
boardend,0.101
boardend,0.1
boardend,0.1
boardend,0.1
boardend,0.099
boardend,0.099
boardend,0.099
boardend,0.098
boardend,0.098
boardend,0.098
boardend,0.097
boardend,0.097
boardend,0.097
boardend,0.096
boardend,0.096
boardend,0.096
boardend,0.095
boardend,0.095
boardend,0.095
boardend,0.094
boardend,0.094
boardend,0.094
boardend,0.093
boardend,0.093
boardend,0.093
boardend,0.092
boardend,0.092
boardend,0.092
boardend,0.091
boardend,0.091
boardend,0.091
boardend,0.09
boardend,0.09
boardend,0.09
boardend,0.09
boardend,0.089
boardend,0.089
boardend,0.089
boardend,0.088
boardend,0.088
boardend,0.088
boardend,0.088
boardend,0.087
boardend,0.087
boardend,0.087
boardend,0.086
boardend,0.086
boardend,0.086
boardend,0.086
boardend,0.085
boardend,0.085
boardend,0.085
boardend,0.085
boardend,0.084
boardend,0.084
boardend,0.084
boardend,0.084
boardend,0.083
boardend,0.083
boardend,0.083
boardend,0.083
boardend,0.082
boardend,0.082
boardend,0.082
boardend,0.082
boardend,0.081
boardend,0.081
boardend,0.081
boardend,0.081
boardend,0.08
boardend,0.08
boardend,0.08
boardend,0.08
boardend,0.079
boardend,0.079
boardend,0.079
boardend,0.079
boardend,0.078
boardend,0.078
boardend,0.078
boardend,0.078
boardend,0.078
boardend,0.077
boardend,0.077
boardend,0.077
boardend,0.077
boardend,0.076
boardend,0.076
boardend,0.076
boardend,0.076
boardend,0.076
boardend,0.075
boardend,0.075
boardend,0.075
boardend,0.075
boardend,0.075
boardend,0.074
boardend,0.074
boardend,0.074
boardend,0.074
boardend,0.074
boardend,0.073
boardend,0.073
boardend,0.073
boardend,0.073
boardend,0.073
boardend,0.072
boardend,0.072
boardend,0.072
boardend,0.072
boardend,0.072
boardend,0.071
boardend,0.071
boardend,0.071
boardend,0.071
boardend,0.071
boardend,0.07
boardend,0.07
boardend,0.07
boardend,0.07
boardend,0.07
boardend,0.07
boardend,0.069
boardend,0.069
boardend,0.069
boardend,0.069
boardend,0.069
boardend,0.069
boardend,0.068
boardend,0.068
boardend,0.068
boardend,0.068
boardend,0.068
boardend,0.068
boardend,0.067
boardend,0.067
boardend,0.067
boardend,0.067
boardend,0.067
boardend,0.067
boardend,0.066
boardend,0.066
boardend,0.066
boardend,0.066
boardend,0.066
boardend,0.066
boardend,0.065
boardend,0.065
boardend,0.065
boardend,0.065
boardend,0.065
boardend,0.065
boardend,0.064
boardend,0.064
boardend,0.064
boardend,0.064
boardend,0.064
boardend,0.064
boardend,0.064
boardend,0.063
boardend,0.063
boardend,0.063
boardend,0.063
boardend,0.063
boardend,0.063
boardend,0.063
boardend,0.062
boardend,0.062
boardend,0.062
boardend,0.062
boardend,0.062
boardend,0.062
boardend,0.062
boardend,0.061
boardend,0.061
boardend,0.061
boardend,0.061
boardend,0.061
boardend,0.061
boardend,0.061
boardend,0.06
boardend,0.06
boardend,0.06
boardend,0.06
boardend,0.06
boardend,0.06
boardend,0.06
boardend,0.06
boardend,0.059
boardend,0.059
boardend,0.059
boardend,0.059
boardend,0.059
boardend,0.059
boardend,0.059
boardend,0.059
boardend,0.058
boardend,0.058
boardend,0.058
boardend,0.058
boardend,0.058
boardend,0.058
boardend,0.058
boardend,0.058
boardend,0.057
boardend,0.057
boardend,0.057
boardend,0.057
boardend,0.057
boardend,0.057
boardend,0.057
boardend,0.057
boardend,0.057
boardend,0.056
boardend,0.056
boardend,0.056
boardend,0.056
boardend,0.056
boardend,0.056
boardend,0.056
boardend,0.056
boardend,0.056
boardend,0.055
boardend,0.055
boardend,0.055
boardend,0.055
boardend,0.055
boardend,0.055
boardend,0.055
boardend,0.055
boardend,0.055
boardend,0.054
boardend,0.054
boardend,0.054
boardend,0.054
boardend,0.054
boardend,0.054
boardend,0.054
boardend,0.054
boardend,0.054
boardend,0.014
boardend,0.014
boardend,0.014
boardend,0.014
boardend,0.014
boardend,0.014
boardend,0.014
boardend,0.014
